League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,0,0.3,NA,4,0,Paris Saint-Germain,4-3-3,1,1.3,Tabitha Chawinga · 6&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,644,595,45,17,1,4,19,15,7,4,3,0,550,4,8
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,1,0.8,Deja Davis · 35&rsquor;,2,0,Paris FC,4-2-3-1,4,2.7,Louna Ribadeira · 4&rsquor; Louise Fleury · 23&rsquor; Louise Fleury · 47&rsquor; Louise Fleury · 76&rsquor;,1,0,Le Havre,Home,NA,990,483,430,53,14,0,3,17,26,1,0,1,0,380,0,6
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,1,0.8,Deja Davis · 35&rsquor;,2,0,Paris FC,4-2-3-1,4,2.7,Louna Ribadeira · 4&rsquor; Louise Fleury · 23&rsquor; Louise Fleury · 47&rsquor; Louise Fleury · 76&rsquor;,1,0,Paris FC,Away,NA,990,443,392,51,14,2,3,11,23,4,0,3,0,348,0,9
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Montpellier,4-4-2,3,1.4,Faustine Robert · 59&rsquor; Océane Deslandes · 62&rsquor; Nérilia Mondésir · 69&rsquor;,2,0,Guingamp,4-4-2,1,0.5,Marie-Charlotte Léger · 77&rsquor;,5,0,Montpellier,Home,NA,990,371,318,50,15,0,1,29,19,8,5,2,0,267,3,9
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Montpellier,4-4-2,3,1.4,Faustine Robert · 59&rsquor; Océane Deslandes · 62&rsquor; Nérilia Mondésir · 69&rsquor;,2,0,Guingamp,4-4-2,1,0.5,Marie-Charlotte Léger · 77&rsquor;,5,0,Guingamp,Away,NA,990,354,290,63,20,0,1,14,25,2,0,2,0,262,1,10
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,0.5,Anaele Le Moguedec · 71&rsquor;,0,0,Dijon,4-3-3,0,0.7,NA,2,0,Stade de Reims,Home,NA,990,321,257,63,11,0,0,7,36,5,0,0,4,184,1,10
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,0.5,Anaele Le Moguedec · 71&rsquor;,0,0,Dijon,4-3-3,0,0.7,NA,2,0,Dijon,Away,NA,990,428,360,68,10,0,2,20,42,7,0,0,5,283,0,13
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Lille,4-3-3,2,1.5,Julie Machart (P) · 50&rsquor; Jessy Roux · 87&rsquor;,1,0,Fleury,4-2-3-1,1,0.2,Léa Le Garrec · 2&rsquor; Mariam Diakité · 86&rsquor;,6,1,Lille,Home,NA,990,367,303,63,20,0,2,12,28,3,1,1,0,254,1,6
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Lille,4-3-3,2,1.5,Julie Machart (P) · 50&rsquor; Jessy Roux · 87&rsquor;,1,0,Fleury,4-2-3-1,1,0.2,Léa Le Garrec · 2&rsquor; Mariam Diakité · 86&rsquor;,6,1,Fleury,Away,NA,985,265,207,57,21,0,0,10,24,1,1,0,0,149,1,9
Championnat de France de Football Féminin,2023-10-08,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3,Melchie Dumornay · 24&rsquor; Kadidiatou Diani · 26&rsquor; Ada Hegerberg · 77&rsquor; Wendie Renard (P) · 85&rsquor;,1,0,Bordeaux,4-3-3,0,0.1,NA,0,0,Lyon,Home,NA,990,658,619,35,7,2,0,32,19,6,5,1,0,530,4,10
