League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),MSV Duisburg,4-3-3,2.0,0.3,Vanessa Furst · 37&rsquor; Antonia Halverkamps · 90+4&rsquor;,4,0,Freiburg,4-2-3-1,2.0,0.6,Cora Zical · 27&rsquor; Ena Mahmutovic (OG) · 73&rsquor;,0,0,MSV Duisburg,Home,,990.0,2,1,0,0,7,3,4,0,445.0,29.0,21,9.0,0.3,0.3,0.2,9.0,2.0,197.0,326.0,60.4,16.0,230.0,7.0,7.0,2.0,,,,,,,,
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),MSV Duisburg,4-3-3,2.0,0.3,Vanessa Furst · 37&rsquor; Antonia Halverkamps · 90+4&rsquor;,4,0,Freiburg,4-2-3-1,2.0,0.6,Cora Zical · 27&rsquor; Ena Mahmutovic (OG) · 73&rsquor;,0,0,Freiburg,Away,,990.0,1,1,0,0,13,4,0,0,799.0,13.0,8,8.0,0.6,0.6,0.4,17.0,2.0,586.0,714.0,82.1,62.0,530.0,9.0,9.0,2.0,,,,,,,,
Frauen-Bundesliga,2023-10-02,Frauen-Bundesliga (Matchweek 2),Bayern München,4-2-3-1,2.0,1.6,Pernille Harder · 45&rsquor; Linda Dallmann · 57&rsquor;,1,0,FC Köln,4-2-3-1,0.0,0.3,,4,0,Bayern München,Home,,990.0,2,2,0,0,16,9,1,0,799.0,20.0,4,12.0,1.6,1.6,1.5,28.0,4.0,572.0,701.0,81.6,60.0,350.0,9.0,20.0,8.0,,,,,,,,
Frauen-Bundesliga,2023-10-02,Frauen-Bundesliga (Matchweek 2),Bayern München,4-2-3-1,2.0,1.6,Pernille Harder · 45&rsquor; Linda Dallmann · 57&rsquor;,1,0,FC Köln,4-2-3-1,0.0,0.3,,4,0,FC Köln,Away,,990.0,0,0,0,0,4,1,4,0,395.0,20.0,15,9.0,0.3,0.3,0.1,8.0,0.0,166.0,280.0,59.3,19.0,157.0,7.0,16.0,10.0,,,,,,,,
Frauen-Bundesliga,2023-10-06,Frauen-Bundesliga (Matchweek 3),VfL Wolfsburg,4-2-3-1,1.0,1.5,Fenna Kalma · 12&rsquor;,0,0,1. FC Nürnberg,3-4-1-2,0.0,0.3,,2,0,VfL Wolfsburg,Home,,990.0,1,1,0,0,17,7,0,0,704.0,19.0,9,13.0,1.5,1.5,1.3,32.0,2.0,466.0,602.0,77.4,52.0,288.0,7.0,17.0,9.0,,,,,,,,
Frauen-Bundesliga,2023-10-06,Frauen-Bundesliga (Matchweek 3),VfL Wolfsburg,4-2-3-1,1.0,1.5,Fenna Kalma · 12&rsquor;,0,0,1. FC Nürnberg,3-4-1-2,0.0,0.3,,2,0,1. FC Nürnberg,Away,,990.0,0,0,0,0,4,2,2,0,445.0,22.0,6,20.0,0.3,0.3,0.3,5.0,0.0,202.0,327.0,61.8,20.0,165.0,4.0,5.0,2.0,,,,,,,,
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),FC Köln,4-2-3-1,4.0,1.9,Sharon Beck · 29&rsquor; Martyna Wiankowska · 59&rsquor; Andrea Gavric · 69&rsquor; Martyna Wiankowska (P) · 78&rsquor;,2,0,MSV Duisburg,4-3-3,1.0,0.7,Yvonne Zielinski · 47&rsquor;,1,0,FC Köln,Home,,990.0,4,3,1,1,11,5,2,0,724.0,12.0,14,8.0,1.9,1.1,1.0,21.0,6.0,452.0,608.0,74.3,30.0,317.0,8.0,12.0,4.0,,,,,,,,
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),FC Köln,4-2-3-1,4.0,1.9,Sharon Beck · 29&rsquor; Martyna Wiankowska · 59&rsquor; Andrea Gavric · 69&rsquor; Martyna Wiankowska (P) · 78&rsquor;,2,0,MSV Duisburg,4-3-3,1.0,0.7,Yvonne Zielinski · 47&rsquor;,1,0,MSV Duisburg,Away,,990.0,1,1,0,0,9,4,1,0,481.0,21.0,19,10.0,0.7,0.7,0.7,14.0,2.0,209.0,361.0,57.9,29.0,235.0,7.0,8.0,5.0,,,,,,,,
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Eintracht Frankfurt,4-3-3,3.0,3.7,Barbara Dunst · 71&rsquor; Laura Freigang (P) · 86&rsquor; Carlotta Wamser · 90+2&rsquor;,1,0,RB Leipzig,5-4-1,1.0,0.7,Lydia Andrade · 27&rsquor;,4,0,Eintracht Frankfurt,Home,,990.0,3,2,1,1,12,4,1,0,661.0,23.0,10,12.0,3.7,2.9,2.9,23.0,6.0,399.0,555.0,71.9,53.0,338.0,15.0,22.0,11.0,,,,,,,,
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Eintracht Frankfurt,4-3-3,3.0,3.7,Barbara Dunst · 71&rsquor; Laura Freigang (P) · 86&rsquor; Carlotta Wamser · 90+2&rsquor;,1,0,RB Leipzig,5-4-1,1.0,0.7,Lydia Andrade · 27&rsquor;,4,0,RB Leipzig,Away,,990.0,1,1,0,0,8,1,4,0,483.0,33.0,12,14.0,0.7,0.7,0.4,13.0,2.0,221.0,362.0,61.0,16.0,208.0,9.0,17.0,7.0,,,,,,,,
