matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals,home_BallPossesion,away_BallPossesion,home_total_shots,away_total_shots,home_ShotsOnTarget,away_ShotsOnTarget,home_big_chance,away_big_chance,home_big_chance_missed_title,away_big_chance_missed_title,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_corners,away_corners,home_ShotsOffTarget,away_ShotsOffTarget,home_blocked_shots,away_blocked_shots,home_shots_woodwork,away_shots_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half_passes,away_own_half_passes,home_opposition_half_passes,away_opposition_half_passes,home_long_balls_accurate,away_long_balls_accurate,home_accurate_crosses,away_accurate_crosses,home_player_throws,away_player_throws,home_touches_opp_box,away_touches_opp_box,home_Offsides,away_Offsides,home_matchstats_headers_tackles,away_matchstats_headers_tackles,home_interceptions,away_interceptions,home_shot_blocks,away_shot_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duel_won,away_duel_won,home_ground_duels_won,away_ground_duels_won,home_aerials_won,away_aerials_won,home_dribbles_succeeded,away_dribbles_succeeded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,season
3952600,2022-12-03 15:00:00+00:00,614954,Leicester City,258661,Chelsea,True,0,8,30,70,5,23,4,13,0,4,0,1,170,531,5,5,3,4,1,8,0,2,0,1,2,19,3,4,278,638,109,269,61,262,13,55,1,5,26,32,6.0,38.0,0,2,22,24,8,16,2,0,11,11,5,4,36,50,30,38,6,12,3,9,1,0,0,0,2022-2023
3952596,2022-12-04 12:30:00+00:00,231483,Reading FC Women,628117,Tottenham Hotspur,True,1,0,44,56,9,15,6,4,1,0,1,0,211,280,8,8,3,6,3,5,0,6,2,0,6,11,3,4,307,393,126,157,85,123,31,20,4,6,25,28,13.0,22.0,1,4,22,21,23,11,6,0,15,15,4,6,36,36,33,31,3,5,3,2,0,0,0,0,2022-2023
3952599,2022-12-04 14:00:00+00:00,258665,Liverpool,231497,West Ham United,True,2,0,48,52,24,3,8,2,3,0,2,0,283,305,7,11,5,1,11,0,5,1,0,0,17,3,7,0,381,421,143,170,140,135,26,33,7,3,32,21,31.0,15.0,1,2,14,17,14,12,1,5,22,18,2,6,28,28,26,24,2,4,2,0,0,0,0,0,2022-2023
3952598,2022-12-04 14:00:00+00:00,231488,Manchester City,231505,Brighton,True,3,1,64,36,27,9,7,3,2,1,1,0,504,246,6,4,7,3,11,4,9,2,1,1,20,3,7,6,590,338,315,180,189,66,44,27,8,0,17,25,37.0,11.0,2,0,11,4,1,17,2,8,11,6,2,5,22,12,0,0,3,0,4,2,2,1,0,0,2022-2023
3952602,2022-12-11 12:30:00+00:00,231488,Manchester City,954396,Manchester United,True,1,1,54,46,13,15,5,4,2,1,1,1,375,328,10,5,4,6,5,7,3,4,0,0,9,12,4,3,461,393,251,205,124,123,24,16,10,4,27,20,23.0,30.0,1,3,16,17,11,14,4,3,19,24,3,4,37,41,31,32,6,9,10,6,0,0,0,0,2022-2023
3952592,2022-12-11 14:00:00+00:00,628117,Tottenham Hotspur,231497,West Ham United,True,0,2,58,42,14,10,2,3,0,2,0,1,327,193,7,11,7,4,6,2,6,5,0,0,8,9,6,1,428,302,188,105,139,88,28,29,6,2,27,25,24.0,21.0,2,0,13,11,18,21,4,6,17,28,1,2,39,31,31,25,8,6,7,7,0,3,0,0,2022-2023
3952621,2022-12-11 16:15:00+00:00,231494,Aston Villa,258657,Arsenal,True,1,4,48,52,8,19,6,7,0,3,0,1,377,427,9,6,0,4,1,7,1,5,1,0,6,15,2,4,467,507,224,214,153,213,26,21,0,5,20,15,12.0,36.0,1,1,19,24,9,14,5,1,17,9,4,5,35,43,30,37,5,6,5,4,1,0,0,0,2022-2023
3952619,2022-12-11 18:45:00+00:00,258661,Chelsea,231483,Reading FC Women,True,3,2,61,39,18,8,9,3,4,0,1,0,408,229,7,13,7,2,5,2,4,3,1,0,16,6,2,2,517,330,187,167,221,62,37,17,5,1,29,22,53.0,12.0,2,2,23,20,9,9,3,5,12,24,1,5,50,40,41,31,9,9,5,4,0,2,0,0,2022-2023
3952565,2022-12-14 19:00:00+00:00,628117,Tottenham Hotspur,258663,Everton,True,0,3,52,48,7,16,4,8,0,2,0,0,361,316,16,9,5,6,3,6,0,2,0,0,5,10,2,6,465,416,205,182,156,134,28,12,2,7,21,21,16.0,22.0,1,3,17,13,13,15,2,0,11,20,5,4,37,42,29,34,8,8,3,5,2,1,1,0,2022-2023
3952626,2023-01-14 12:30:00+00:00,231494,Aston Villa,628117,Tottenham Hotspur,True,2,1,57,43,10,6,6,3,0,1,0,0,455,323,9,10,2,1,1,2,3,1,0,0,7,3,3,3,560,410,289,195,166,128,28,26,5,1,38,25,13.0,11.0,1,2,15,14,17,16,1,3,7,10,2,4,27,28,26,25,1,3,1,2,2,3,0,0,2022-2023
3952627,2023-01-15 12:00:00+00:00,258657,Arsenal,258661,Chelsea,True,1,1,40,60,13,17,7,2,2,1,1,0,286,432,8,8,2,6,2,7,4,8,0,0,7,10,6,7,360,535,202,296,84,136,14,27,2,3,20,29,20.0,24.0,3,1,16,24,9,10,7,4,27,14,1,6,40,51,25,40,15,11,1,8,1,1,0,0,2022-2023
