League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels
Championnat de France de Football Féminin,2023-10-13,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,1.2,Andréa Lardez (P) · 52&rsquor;,3,0,Montpellier,4-2-3-1,1,1.2,Lea Khelifi · 60&rsquor;,1,0,Montpellier,Away,NA,990,1,0,0,13,9,3,25,15,13,0,1,0,70,17,12,58.6
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,2,2,Gaëtane Thiney (P) · 69&rsquor; Julie Dufour · 89&rsquor;,0,0,Guingamp,4-4-2,0,0.1,NA,2,0,Paris FC,Home,NA,990,0,0,0,9,11,1,30,10,24,1,0,0,68,15,5,75
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,2,2,Gaëtane Thiney (P) · 69&rsquor; Julie Dufour · 89&rsquor;,0,0,Guingamp,4-4-2,0,0.1,NA,2,0,Guingamp,Away,NA,990,2,0,0,11,9,2,4,22,16,0,1,0,52,5,15,25
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Le Havre,4-2-3-1,2,3.1,Chanelle Tchaptchet · 90+2&rsquor; Nesryne El Chad (OG) · 90+8&rsquor;,3,0,Lille,4-2-3-1,2,0.9,Lorena Azzaro · 7&rsquor; Nesryne El Chad · 24&rsquor; Naomie Bamenga · 45+2&rsquor;,3,1,Le Havre,Home,NA,990,3,0,0,14,8,1,39,11,15,0,0,0,73,9,6,60
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Le Havre,4-2-3-1,2,3.1,Chanelle Tchaptchet · 90+2&rsquor; Nesryne El Chad (OG) · 90+8&rsquor;,3,0,Lille,4-2-3-1,2,0.9,Lorena Azzaro · 7&rsquor; Nesryne El Chad · 24&rsquor; Naomie Bamenga · 45+2&rsquor;,3,1,Lille,Away,NA,944,2,1,1,8,13,1,11,8,11,0,0,0,71,6,9,40
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Fleury,Home,NA,990,1,0,0,9,15,1,18,23,16,0,0,0,76,13,7,65
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Dijon,Away,NA,990,2,0,0,16,9,0,17,19,15,0,0,0,74,7,13,35
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Lyon,Home,NA,990,3,0,0,7,17,5,29,8,12,0,0,0,80,14,3,82.4
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Saint-Étienne,Away,NA,989,3,1,1,17,7,1,6,13,12,0,0,0,53,3,14,17.6
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Montpellier,Home,NA,990,3,0,0,15,8,0,26,8,13,0,1,0,71,6,5,54.5
