League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP
Frauen-Bundesliga,2023-09-29,Frauen-Bundesliga (Matchweek 2),RB Leipzig,4-1-3-2,3,0.2,Vanessa Fudalla · 15&rsquor; Frederike Kempe · 23&rsquor; Vanessa Fudalla · 77&rsquor;,3,0,Essen,4-3-3,2,1.1,Natasha Kowalski · 6&rsquor; Ramona Maier · 90+7&rsquor;,1,0,RB Leipzig,Home,NA,990,238,364,65.4,4523,2091,82,113,72.6,115,146,78.8,29,66,43.9,2,0.2,0.7,4,18,3,2,29
Frauen-Bundesliga,2023-09-29,Frauen-Bundesliga (Matchweek 2),RB Leipzig,4-1-3-2,3,0.2,Vanessa Fudalla · 15&rsquor; Frederike Kempe · 23&rsquor; Vanessa Fudalla · 77&rsquor;,3,0,Essen,4-3-3,2,1.1,Natasha Kowalski · 6&rsquor; Ramona Maier · 90+7&rsquor;,1,0,Essen,Away,NA,990,380,511,74.4,8228,2766,90,120,75,218,252,86.5,68,119,57.1,0,0.4,1.2,6,32,9,4,43
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,Bayer Leverkusen,Home,NA,990,433,521,83.1,9208,3119,111,135,82.2,265,296,89.5,56,80,70,3,2.5,2.5,15,43,11,2,67
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,1. FC Nürnberg,Away,NA,990,210,286,73.4,4443,1733,55,73,75.3,126,142,88.7,28,61,45.9,0,0.1,0.1,1,5,3,1,8
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1,1.5,Michelle Ulbrich · 70&rsquor;,3,0,Hoffenheim,4-3-3,3,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Werder Bremen,Home,NA,990,244,407,60,4942,2296,90,130,69.2,114,169,67.5,37,89,41.6,0,0.8,1.3,6,26,6,5,35
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1,1.5,Michelle Ulbrich · 70&rsquor;,3,0,Hoffenheim,4-3-3,3,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Hoffenheim,Away,NA,990,235,378,62.2,4210,2024,100,136,73.5,100,143,69.9,25,67,37.3,3,1.9,1.9,11,14,4,1,16
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,Wolfsburg,4-2-3-1,4,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Eintracht Frankfurt,Home,NA,990,276,419,65.9,5063,2510,114,142,80.3,116,151,76.8,36,82,43.9,1,0.4,0.3,4,20,5,1,33
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,Wolfsburg,4-2-3-1,4,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Wolfsburg,Away,NA,990,341,479,71.2,6440,3144,126,164,76.8,173,213,81.2,38,70,54.3,3,1.6,2.1,16,23,11,6,40
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),MSV Duisburg,4-3-3,2,0.3,Vanessa Furst · 37&rsquor; Antonia Halverkamps · 90+4&rsquor;,4,0,Freiburg,4-2-3-1,2,0.6,Cora Zical · 27&rsquor; Ena Mahmutovic (OG) · 73&rsquor;,0,0,MSV Duisburg,Home,NA,990,197,326,60.4,4194,2161,61,87,70.1,99,141,70.2,35,88,39.8,1,0.2,0.1,4,16,1,1,16
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),MSV Duisburg,4-3-3,2,0.3,Vanessa Furst · 37&rsquor; Antonia Halverkamps · 90+4&rsquor;,4,0,Freiburg,4-2-3-1,2,0.6,Cora Zical · 27&rsquor; Ena Mahmutovic (OG) · 73&rsquor;,0,0,Freiburg,Away,NA,990,586,714,82.1,11442,3895,184,215,85.6,348,394,88.3,51,87,58.6,1,0.4,0.6,7,51,5,0,62
