matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals
3990186,2022-12-03 13:30:00+00:00,394119,Lyon,593381,Dijon Foot,True,8,0
3990182,2022-12-03 13:30:00+00:00,597900,Guingamp,628136,ASJ Soyaux,True,3,1
3990183,2022-12-03 13:30:00+00:00,862896,Bordeaux,628137,Rodez Aveyron,True,3,1
3990185,2022-12-03 13:30:00+00:00,1070036,Reims,1169987,Le Havre,True,3,1
3990181,2022-12-04 12:00:00+00:00,862893,Paris FC,294858,Paris Saint Germain,True,0,1
3990190,2022-12-09 17:00:00+00:00,862902,Fleury Merogis U.S,862896,Bordeaux,True,2,0
3990192,2022-12-10 13:30:00+00:00,593381,Dijon Foot,1070036,Reims,True,0,4
3990188,2022-12-10 13:30:00+00:00,628136,ASJ Soyaux,862893,Paris FC,True,0,6
3990189,2022-12-10 13:30:00+00:00,628137,Rodez Aveyron,597900,Guingamp,True,1,2
3990191,2022-12-11 11:45:00+00:00,1169987,Le Havre,606039,Montpellier,True,0,1
3990187,2022-12-11 20:00:00+00:00,394119,Lyon,294858,Paris Saint Germain,True,0,1
3990193,2023-01-13 17:30:00+00:00,294858,Paris Saint Germain,628137,Rodez Aveyron,True,1,0
3990180,2023-01-14 12:45:00+00:00,597900,Guingamp,1169987,Le Havre,True,2,2
3990179,2023-01-14 12:45:00+00:00,862896,Bordeaux,593381,Dijon Foot,True,2,0
3990164,2023-01-14 12:45:00+00:00,628136,ASJ Soyaux,394119,Lyon,True,0,3
3990178,2023-01-14 12:45:00+00:00,606039,Montpellier,1070036,Reims,True,2,0
3990194,2023-01-15 11:45:00+00:00,862893,Paris FC,862902,Fleury Merogis U.S,True,0,2
3990165,2023-01-20 20:00:00+00:00,862902,Fleury Merogis U.S,294858,Paris Saint Germain,True,4,4
3990167,2023-01-21 12:45:00+00:00,1169987,Le Havre,862893,Paris FC,True,1,3
3990169,2023-01-21 12:45:00+00:00,1070036,Reims,862896,Bordeaux,True,6,1
3990168,2023-01-21 12:45:00+00:00,593381,Dijon Foot,597900,Guingamp,True,1,0
3990170,2023-01-21 20:00:00+00:00,394119,Lyon,606039,Montpellier,True,2,0
3990173,2023-02-03 17:30:00+00:00,862896,Bordeaux,606039,Montpellier,True,0,2
3990175,2023-02-04 12:45:00+00:00,597900,Guingamp,1070036,Reims,True,2,0
3990176,2023-02-04 12:45:00+00:00,628137,Rodez Aveyron,394119,Lyon,True,0,5
3990171,2023-02-04 12:45:00+00:00,628136,ASJ Soyaux,862902,Fleury Merogis U.S,True,0,4
3990174,2023-02-04 12:45:00+00:00,862893,Paris FC,593381,Dijon Foot,True,2,0
3990172,2023-02-05 11:45:00+00:00,294858,Paris Saint Germain,1169987,Le Havre,True,3,1
3990166,2023-02-10 17:30:00+00:00,628137,Rodez Aveyron,628136,ASJ Soyaux,True,1,0
3990215,2023-02-25 12:45:00+00:00,1070036,Reims,862893,Paris FC,True,0,3
3990214,2023-02-25 12:45:00+00:00,862902,Fleury Merogis U.S,628137,Rodez Aveyron,True,6,0
3990213,2023-02-25 12:45:00+00:00,606039,Montpellier,597900,Guingamp,True,0,1
3990195,2023-02-25 12:45:00+00:00,1169987,Le Havre,628136,ASJ Soyaux,True,2,0
3990177,2023-02-26 13:45:00+00:00,593381,Dijon Foot,294858,Paris Saint Germain,True,0,4
3990212,2023-02-26 13:45:00+00:00,394119,Lyon,862896,Bordeaux,True,3,0
3990197,2023-03-10 17:30:00+00:00,862893,Paris FC,606039,Montpellier,True,2,0
3990200,2023-03-10 20:00:00+00:00,862902,Fleury Merogis U.S,394119,Lyon,True,1,2
3990210,2023-03-11 12:45:00+00:00,628137,Rodez Aveyron,1169987,Le Havre,True,1,2
3990198,2023-03-11 12:45:00+00:00,628136,ASJ Soyaux,593381,Dijon Foot,True,1,1
3990211,2023-03-11 12:45:00+00:00,597900,Guingamp,862896,Bordeaux,True,2,0
