"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL","LeagueName","LeagueURL","StatType"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Melanie Brunnthaler","AUT","FW","25-016",6,78,119,65.5,1027,254,45,67,67.2,24,33,72.7,1,4,25,1,1,0.6,0,8,6,2,2,7,"https://fbref.com/en/players/0a63b53a/Melanie-Brunnthaler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Svea Stoldt","GER","DF","19-315",6,120,181,66.3,2623,1319,32,46,69.6,63,79,79.7,23,48,47.9,2,0.5,0.7,1.5,6,13,1,0,15,"https://fbref.com/en/players/5b400501/Svea-Stoldt","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Leni Marie Eggert","GER","DF","17-100",6,135,265,50.9,2293,1736,61,97,62.9,55,102,53.9,13,43,30.2,0,0.5,0.4,-0.5,4,9,3,2,15,"https://fbref.com/en/players/5698d1c9/Leni-Marie-Eggert","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Pauline Machtens","GER","MF","23-108",4.7,67,121,55.4,1131,490,31,49,63.3,32,54,59.3,3,12,25,0,0.1,0,-0.1,3,4,0,0,8,"https://fbref.com/en/players/e4687714/Pauline-Machtens","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Sophie Hillebrand","AUT","FW","23-263",4.4,55,78,70.5,866,303,31,42,73.8,16,22,72.7,6,10,60,0,0.2,0.1,-0.2,3,7,1,1,9,"https://fbref.com/en/players/c3f503a8/Sophie-Hillebrand","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Nina Räcke","GER","DF","24-027",5,95,135,70.4,1943,1007,36,46,78.3,40,53,75.5,18,33,54.5,0,0,0.1,0,2,14,1,0,21,"https://fbref.com/en/players/d0d2c2f8/Nina-Racke","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Mária Mikolajová","SVK","MF","26-123",4.2,71,115,61.7,1209,677,28,49,57.1,38,50,76,4,12,33.3,0,0.1,0.1,-0.1,2,11,1,1,18,"https://fbref.com/en/players/07ee8887/Maria-Mikolajova","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Jaqueline Donges","GER","DF","24-297",3.5,79,122,64.8,1914,1045,18,24,75,38,50,76,21,44,47.7,0,0.1,0.1,-0.1,2,20,0,0,15,"https://fbref.com/en/players/60c2e7fe/Jaqueline-Donges","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Jobina Lahr","GER","DF","33-360",2.7,43,97,44.3,1008,816,14,22,63.6,15,31,48.4,13,40,32.5,1,0.1,0.1,0.9,1,6,1,1,4,"https://fbref.com/en/players/368b0d80/Jobina-Lahr","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Emilia Hirche","GER","DF,FW","22-094",3.5,67,89,75.3,1306,584,19,25,76,36,42,85.7,10,20,50,0,0,0.6,0,1,5,0,0,9,"https://fbref.com/en/players/60255644/Emilia-Hirche","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
