"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL","LeagueName","LeagueURL","StatType"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Svenja Huth","GER","MF","33",18.8,1,27,9,33.3,1.43,0.48,0.04,0.11,18.8,1,0,0,1.8,1.8,0.07,-0.8,-0.8,"https://fbref.com/en/players/8b5f141c/Svenja-Huth","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Alexandra Popp","GER","FW","33",17.8,7,69,24,34.8,3.88,1.35,0.1,0.29,14.6,3,0,0,8.2,8.2,0.12,-1.2,-1.2,"https://fbref.com/en/players/655e7bd0/Alexandra-Popp","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Lineth Beerensteyn","NED","FW,MF","27",16.8,17,70,33,47.1,4.16,1.96,0.24,0.52,12.2,0,0,1,15.2,14.5,0.21,1.8,2.5,"https://fbref.com/en/players/40ecae9f/Lineth-Beerensteyn","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Lena Lattwein","GER","MF","24",14.9,5,27,8,29.6,1.81,0.54,0.11,0.38,16.6,1,2,2,3.8,2.3,0.09,1.2,0.7,"https://fbref.com/en/players/22cd470c/Lena-Lattwein","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Jule Brand","GER","FW,MF","21",13.8,4,33,18,54.5,2.38,1.3,0.12,0.22,14.6,0,0,0,5.2,5.2,0.16,-1.2,-1.2,"https://fbref.com/en/players/0ab91913/Jule-Brand","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Lynn Wilms","NED","DF,MF","23",15.3,4,18,15,83.3,1.18,0.98,0.17,0.2,26.8,5,1,1,1.4,0.7,0.04,2.6,2.3,"https://fbref.com/en/players/3c0b2466/Lynn-Wilms","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Sarai Linder","GER","DF,MF","24",14.3,1,9,3,33.3,0.63,0.21,0.11,0.33,22.8,0,0,0,1,1,0.11,0,0,"https://fbref.com/en/players/bedec045/Sarai-Linder","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Marina Hegering","GER","DF","34",11.8,1,17,6,35.3,1.44,0.51,0.06,0.17,18.4,0,0,0,1,1,0.06,0,0,"https://fbref.com/en/players/df1695c1/Marina-Hegering","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Kathrin Hendrich","GER","DF","32",12.2,0,2,0,0,0.16,0,0,NA,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,"https://fbref.com/en/players/e5b01fee/Kathrin-Hendrich","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Vivien Endemann","GER","FW,MF","22",10.9,3,31,18,58.1,2.84,1.65,0.1,0.17,14.1,0,0,0,3.5,3.5,0.11,-0.5,-0.5,"https://fbref.com/en/players/e602c142/Vivien-Endemann","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Merle Frohms","GER","GK","29",12,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/948d8bd2/Merle-Frohms","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
