League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Championnat de France de Football Féminin,2023-12-16,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,1.5,Hawa Sangare · 8&rsquor;,2,0,Saint-Étienne,4-2-3-1,4,2.8,Cindy Caputo · 13&rsquor; Faustine Bataillard · 51&rsquor; Phornetia Browne · 74&rsquor; Kess Elmore · 81&rsquor;,5,0,Saint-Étienne,Away,NA,990,21,14,8,11,2,12,18,66.7,6,11,4,7,8,29,18,1
Championnat de France de Football Féminin,2023-12-17,Championnat de France de Football Féminin (Regular season),Paris FC,4-3-3,1,1.7,Gaëtane Thiney (P) · 4&rsquor;,1,0,Paris Saint-Germain,4-2-3-1,2,1.8,Sandy Baltimore (P) · 36&rsquor; Marie-Antoinette Katoto · 44&rsquor;,1,0,Paris FC,Home,NA,990,20,13,7,12,1,8,22,36.4,14,8,0,8,18,38,11,0
Championnat de France de Football Féminin,2023-12-17,Championnat de France de Football Féminin (Regular season),Paris FC,4-3-3,1,1.7,Gaëtane Thiney (P) · 4&rsquor;,1,0,Paris Saint-Germain,4-2-3-1,2,1.8,Sandy Baltimore (P) · 36&rsquor; Marie-Antoinette Katoto · 44&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,17,12,11,5,1,7,13,53.8,6,18,7,11,21,38,18,1
Championnat de France de Football Féminin,2024-01-09,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-3-3,6,2.9,Marie-Antoinette Katoto · 26&rsquor; Sandy Baltimore · 37&rsquor; Tabitha Chawinga · 55&rsquor; Sandy Baltimore · 57&rsquor; Grace Geyoro · 60&rsquor; Lieke Martens · 86&rsquor;,1,0,Lille,4-1-4-1,0,1.1,NA,2,0,Paris Saint-Germain,Home,NA,990,27,13,14,7,6,10,17,58.8,7,14,4,10,8,35,10,1
Championnat de France de Football Féminin,2024-01-09,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-3-3,6,2.9,Marie-Antoinette Katoto · 26&rsquor; Sandy Baltimore · 37&rsquor; Tabitha Chawinga · 55&rsquor; Sandy Baltimore · 57&rsquor; Grace Geyoro · 60&rsquor; Lieke Martens · 86&rsquor;,1,0,Lille,4-1-4-1,0,1.1,NA,2,0,Lille,Away,NA,990,24,12,11,8,5,12,35,34.3,23,10,4,6,10,34,15,1
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Guingamp,3-4-1-2,0,0.7,Jeannette Yango · 66&rsquor;,4,1,Montpellier,4-2-3-1,1,0.9,Lea Khelifi · 40&rsquor; Maelys Mpomé · 83&rsquor;,5,1,Guingamp,Home,NA,965,10,8,5,4,1,4,14,28.6,10,10,2,8,13,23,28,0
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Guingamp,3-4-1-2,0,0.7,Jeannette Yango · 66&rsquor;,4,1,Montpellier,4-2-3-1,1,0.9,Lea Khelifi · 40&rsquor; Maelys Mpomé · 83&rsquor;,5,1,Montpellier,Away,NA,982,12,9,1,6,5,4,13,30.8,9,10,2,8,9,21,20,0
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,1.2,NA,1,0,Fleury,4-3-3,5,3,Dominika Grabowska · 51&rsquor; Rosemonde Kouassi · 65&rsquor; Rosemonde Kouassi · 80&rsquor; Léa Declercq (OG) · 88&rsquor; Tianna Harris · 90&rsquor;,0,0,Dijon,Home,NA,990,19,16,11,3,5,15,24,62.5,9,11,3,8,14,33,28,1
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,1.2,NA,1,0,Fleury,4-3-3,5,3,Dominika Grabowska · 51&rsquor; Rosemonde Kouassi · 65&rsquor; Rosemonde Kouassi · 80&rsquor; Léa Declercq (OG) · 88&rsquor; Tianna Harris · 90&rsquor;,0,0,Fleury,Away,NA,990,21,18,4,8,9,9,11,81.8,2,10,1,9,11,32,13,0
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,1,0.8,Ada Hegerberg · 84&rsquor;,1,0,Paris FC,4-2-3-1,0,0.2,NA,0,0,Lyon,Home,NA,990,19,17,7,9,3,5,10,50,5,14,3,11,20,39,7,0
