League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Frauen-Bundesliga,2024-04-21,Frauen-Bundesliga (Matchweek 19),MSV Duisburg,4-4-2,1,0.4,Natalie Muth · 64&rsquor;,2,0,Wolfsburg,4-3-3,4,5,Alexandra Popp · 71&rsquor; Dominique Janssen (P) · 85&rsquor; Vivien Endemann · 88&rsquor; Ewa Pajor · 89&rsquor;,1,0,Wolfsburg,Away,NA,990,9,7,2,6,1,4,9,44.4,5,5,0,5,12,21,7,1
Frauen-Bundesliga,2024-04-22,Frauen-Bundesliga (Matchweek 19),Bayern Munich,4-2-3-1,3,2,Magdalena Eriksson · 48&rsquor; Jovana Damnjanović · 57&rsquor; Georgia Stanway · 90+5&rsquor;,0,0,Werder Bremen,4-4-2,0,0.9,NA,0,0,Bayern Munich,Home,NA,990,20,18,6,10,4,8,14,57.1,6,5,1,4,7,27,15,0
Frauen-Bundesliga,2024-04-22,Frauen-Bundesliga (Matchweek 19),Bayern Munich,4-2-3-1,3,2,Magdalena Eriksson · 48&rsquor; Jovana Damnjanović · 57&rsquor; Georgia Stanway · 90+5&rsquor;,0,0,Werder Bremen,4-4-2,0,0.9,NA,0,0,Werder Bremen,Away,NA,990,22,13,11,10,1,6,21,28.6,15,15,5,10,13,35,18,1
Frauen-Bundesliga,2024-05-03,Frauen-Bundesliga (Matchweek 20),Wolfsburg,4-3-3,5,3.6,Dominique Janssen · 7&rsquor; Ewa Pajor · 12&rsquor; Ewa Pajor · 23&rsquor; Alexandra Popp · 36&rsquor; Vivien Endemann · 80&rsquor;,2,0,Köln,4-2-3-1,1,1.1,Anna Gerhardt · 54&rsquor;,4,0,Wolfsburg,Home,NA,990,34,18,9,16,9,10,18,55.6,8,10,2,8,7,41,6,0
Frauen-Bundesliga,2024-05-03,Frauen-Bundesliga (Matchweek 20),Wolfsburg,4-3-3,5,3.6,Dominique Janssen · 7&rsquor; Ewa Pajor · 12&rsquor; Ewa Pajor · 23&rsquor; Alexandra Popp · 36&rsquor; Vivien Endemann · 80&rsquor;,2,0,Köln,4-2-3-1,1,1.1,Anna Gerhardt · 54&rsquor;,4,0,Köln,Away,NA,990,17,10,13,3,1,8,18,44.4,10,7,3,4,14,31,24,1
Frauen-Bundesliga,2024-05-04,Frauen-Bundesliga (Matchweek 20),Bayer Leverkusen,4-1-4-1,1,0.7,Nikola Karczewska · 62&rsquor;,1,0,Bayern Munich,4-2-3-1,2,1.4,Georgia Stanway · 18&rsquor; Linda Dallmann · 27&rsquor;,2,0,Bayer Leverkusen,Home,NA,990,10,9,6,3,1,4,8,50,4,7,2,5,13,23,18,0
Frauen-Bundesliga,2024-05-04,Frauen-Bundesliga (Matchweek 20),Bayer Leverkusen,4-1-4-1,1,0.7,Nikola Karczewska · 62&rsquor;,1,0,Bayern Munich,4-2-3-1,2,1.4,Georgia Stanway · 18&rsquor; Linda Dallmann · 27&rsquor;,2,0,Bayern Munich,Away,NA,990,13,10,5,5,3,3,3,100,0,9,0,9,4,17,14,0
Frauen-Bundesliga,2024-05-04,Frauen-Bundesliga (Matchweek 20),Hoffenheim,4-2-3-1,1,1,Vanessa Leimenstoll · 90+3&rsquor;,1,0,Eintracht Frankfurt,4-3-1-2,3,1.4,Pia-Sophie Wolter · 17&rsquor; Nicole Anyomi · 35&rsquor; Nicole Anyomi · 47&rsquor;,0,0,Hoffenheim,Home,NA,990,21,17,7,11,3,12,24,50,12,13,5,8,8,29,23,0
Frauen-Bundesliga,2024-05-04,Frauen-Bundesliga (Matchweek 20),Hoffenheim,4-2-3-1,1,1,Vanessa Leimenstoll · 90+3&rsquor;,1,0,Eintracht Frankfurt,4-3-1-2,3,1.4,Pia-Sophie Wolter · 17&rsquor; Nicole Anyomi · 35&rsquor; Nicole Anyomi · 47&rsquor;,0,0,Eintracht Frankfurt,Away,NA,990,20,12,10,8,2,9,16,56.3,7,13,1,12,12,32,8,0
Frauen-Bundesliga,2024-05-05,Frauen-Bundesliga (Matchweek 20),Freiburg,4-2-3-1,0,0.7,NA,2,0,Essen,4-2-3-1,1,0.5,Ramona Maier · 64&rsquor;,3,0,Freiburg,Home,NA,990,28,18,14,8,6,14,19,73.7,5,14,2,12,9,37,14,0
