match_id,season,competition,player_id,player_name,team,is_home,is_starter,age,position_id,usual_position_id,shirt_number,country,formation,rating,minutes_played,first_name,last_name,goals_in_match,assists_in_match,position_name
4829670,2025,2. Bundesliga,1587901,Kofi Amoako,Dynamo Dresden,True,True,20.0,64,2,6,Germany,4-2-3-1,6.7,75,Kofi,Amoako,0,0,Midfielder
4829670,2025,2. Bundesliga,634142,Vinko Sapina,Dynamo Dresden,True,True,30.0,66,2,5,Croatia,4-2-3-1,6.3,90,Vinko,Sapina,0,0,Midfielder
4829670,2025,2. Bundesliga,1097375,Jakob Lemmer,Dynamo Dresden,True,True,25.0,83,3,10,Germany,4-2-3-1,7.0,90,Jakob,Lemmer,0,0,Midfielder
4829670,2025,2. Bundesliga,854069,Nils Fröling,Dynamo Dresden,True,True,25.0,85,2,16,Sweden,4-2-3-1,6.5,75,Nils,Fröling,0,0,Midfielder
4829670,2025,2. Bundesliga,1072817,Dominik Kother,Dynamo Dresden,True,True,25.0,87,3,11,Germany,4-2-3-1,6.4,57,Dominik,Kother,0,0,Midfielder
4829670,2025,2. Bundesliga,773519,Christoph Daferner,Dynamo Dresden,True,True,27.0,115,3,33,Germany,4-2-3-1,7.2,81,Christoph,Daferner,1,0,Forward
4829670,2025,2. Bundesliga,562055,Dominik Reimann,Magdeburg,False,True,28.0,11,0,1,Germany,3-4-3,5.8,90,Dominik,Reimann,0,0,Goalkeeper
4829670,2025,2. Bundesliga,1276507,Andi Hoti,Magdeburg,False,True,22.0,33,1,3,Kosovo,3-4-3,7.2,90,Andi,Hoti,0,0,Defender
4829670,2025,2. Bundesliga,639580,Marcus Mathisen,Magdeburg,False,True,29.0,35,1,16,Denmark,3-4-3,7.3,81,Marcus,Mathisen,0,0,Defender
4829670,2025,2. Bundesliga,1081230,Jean Hugonet,Magdeburg,False,True,25.0,37,1,24,France,3-4-3,8.3,90,Jean,Hugonet,1,0,Defender
4829670,2025,2. Bundesliga,866164,Herbert Bockhorn,Magdeburg,False,True,30.0,72,3,7,Germany,3-4-3,7.1,81,Herbert,Bockhorn,0,0,Midfielder
4829670,2025,2. Bundesliga,820132,Silas Gnaka,Magdeburg,False,True,26.0,74,2,25,Ivory Coast,3-4-3,6.5,90,Silas,Gnaka,0,0,Midfielder
4829670,2025,2. Bundesliga,1367587,Laurin Ulrich,Magdeburg,False,True,20.0,76,2,8,Germany,3-4-3,6.9,81,Laurin,Ulrich,0,1,Midfielder
4829670,2025,2. Bundesliga,814892,Alexander Nollenberger,Magdeburg,False,True,28.0,78,2,17,Germany,3-4-3,6.5,71,Alexander,Nollenberger,0,0,Midfielder
4829670,2025,2. Bundesliga,546190,Lubambo Musonda,Magdeburg,False,True,30.0,103,2,19,Zambia,3-4-3,7.1,90,Lubambo,Musonda,0,0,Forward
4829670,2025,2. Bundesliga,812839,Martijn Kaars,Magdeburg,False,True,26.0,105,3,9,Netherlands,3-4-3,7.2,90,Martijn,Kaars,1,0,Forward
4829670,2025,2. Bundesliga,629562,Baris Atik,Magdeburg,False,True,30.0,107,3,23,Turkiye,3-4-3,6.8,88,Baris,Atik,0,0,Forward
4829663,2025,2. Bundesliga,859752,Ron-Thorben Hoffmann,Eintracht Braunschweig,True,True,26.0,11,0,1,Germany,3-3-2-2,6.3,90,Ron-Thorben,Hoffmann,0,0,Goalkeeper
4829663,2025,2. Bundesliga,1280040,Louis Breunig,Eintracht Braunschweig,True,True,21.0,33,1,16,Germany,3-3-2-2,7.6,85,Louis,Breunig,0,1,Defender
4829663,2025,2. Bundesliga,973727,Sven Köhler,Eintracht Braunschweig,True,True,28.0,35,2,27,Germany,3-3-2-2,7.2,90,Sven,Köhler,0,0,Defender
4829663,2025,2. Bundesliga,1235057,Lukas Frenkert,Eintracht Braunschweig,True,True,25.0,37,1,29,Germany,3-3-2-2,7.5,90,Lukas,Frenkert,1,0,Defender
4829663,2025,2. Bundesliga,1237634,Mehmet Aydin,Eintracht Braunschweig,True,True,23.0,53,3,8,Turkiye,3-3-2-2,7.3,90,Mehmet,Aydin,0,0,Unknown
4829663,2025,2. Bundesliga,865059,Robin Heusser,Eintracht Braunschweig,True,True,27.0,55,2,30,Germany,3-3-2-2,6.8,90,Robin,Heusser,0,0,Unknown
4829663,2025,2. Bundesliga,1381854,Fabio Di Michele,Eintracht Braunschweig,True,True,22.0,57,2,22,Germany,3-3-2-2,6.8,90,Fabio,Di Michele,0,0,Unknown
4829663,2025,2. Bundesliga,1532192,Max Marie,Eintracht Braunschweig,True,True,20.0,74,2,15,Germany,3-3-2-2,6.8,70,Max,Marie,0,0,Midfielder
4829663,2025,2. Bundesliga,1082491,Lino Tempelmann,Eintracht Braunschweig,True,True,26.0,76,2,20,Germany,3-3-2-2,6.9,85,Lino,Tempelmann,0,0,Midfielder
4829663,2025,2. Bundesliga,1000011,Christian Conteh,Eintracht Braunschweig,True,True,25.0,104,3,32,Germany,3-3-2-2,7.3,61,Christian,Conteh,0,1,Forward
