League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Championnat de France de Football Féminin,2023-10-01,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,0,0.7,NA,1,0,Lyon,4-3-3,1,0.9,Eugénie Le Sommer · 20&rsquor;,3,0,Lyon,Away,NA,990,1,1,0,0,14,8,3,0,568,20,11,9,0.9,0.9,0.9,23,2,343,443,77.4,36,388,18,11,4
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,0,0.3,NA,4,0,Paris Saint-Germain,4-3-3,1,1.3,Tabitha Chawinga · 6&rsquor;,1,0,Saint-Étienne,Home,NA,990,0,0,0,0,7,3,4,0,363,17,16,10,0.3,0.3,0.3,12,0,190,280,67.9,27,212,7,12,3
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,0,0.3,NA,4,0,Paris Saint-Germain,4-3-3,1,1.3,Tabitha Chawinga · 6&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,1,1,0,0,10,3,1,0,732,17,13,8,1.3,1.3,1.3,18,2,550,644,85.4,43,503,11,27,17
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,1,0.8,Deja Davis · 35&rsquor;,2,0,Paris FC,4-2-3-1,4,2.7,Louna Ribadeira · 4&rsquor; Louise Fleury · 23&rsquor; Louise Fleury · 47&rsquor; Louise Fleury · 76&rsquor;,1,0,Le Havre,Home,NA,990,1,1,0,0,10,7,2,0,576,18,7,10,0.9,0.9,0.7,13,1,380,483,78.7,38,299,7,9,6
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,1,0.8,Deja Davis · 35&rsquor;,2,0,Paris FC,4-2-3-1,4,2.7,Louna Ribadeira · 4&rsquor; Louise Fleury · 23&rsquor; Louise Fleury · 47&rsquor; Louise Fleury · 76&rsquor;,1,0,Paris FC,Away,NA,990,4,4,0,0,14,7,1,0,545,11,19,8,2.7,2.7,2.6,23,7,348,443,78.6,32,320,18,15,7
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Montpellier,4-4-2,3,1.4,Faustine Robert · 59&rsquor; Océane Deslandes · 62&rsquor; Nérilia Mondésir · 69&rsquor;,2,0,Guingamp,4-4-2,1,0.5,Marie-Charlotte Léger · 77&rsquor;,5,0,Montpellier,Home,NA,990,3,2,0,0,17,5,2,0,481,25,7,11,1.4,1.4,1.1,25,3,267,371,72,37,244,17,19,11
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Montpellier,4-4-2,3,1.4,Faustine Robert · 59&rsquor; Océane Deslandes · 62&rsquor; Nérilia Mondésir · 69&rsquor;,2,0,Guingamp,4-4-2,1,0.5,Marie-Charlotte Léger · 77&rsquor;,5,0,Guingamp,Away,NA,990,1,0,0,0,7,3,5,0,459,17,6,12,0.5,0.5,0.2,11,0,262,354,74,19,282,7,17,4
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,0.5,Anaele Le Moguedec · 71&rsquor;,0,0,Dijon,4-3-3,0,0.7,NA,2,0,Stade de Reims,Home,NA,990,1,0,0,0,14,6,0,0,431,13,20,12,0.5,0.5,0.4,22,2,184,321,57.3,25,197,7,20,7
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,0.5,Anaele Le Moguedec · 71&rsquor;,0,0,Dijon,4-3-3,0,0.7,NA,2,0,Dijon,Away,NA,990,0,0,0,0,10,4,2,0,532,17,16,12,0.7,0.7,0.6,20,0,283,428,66.1,38,265,10,14,5
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Lille,4-3-3,2,1.5,Julie Machart (P) · 50&rsquor; Jessy Roux · 87&rsquor;,1,0,Fleury,4-2-3-1,1,0.2,Léa Le Garrec · 2&rsquor; Mariam Diakité · 86&rsquor;,6,1,Lille,Home,NA,990,2,1,1,1,7,2,1,0,469,17,16,10,1.5,0.7,0.6,14,4,254,367,69.2,28,222,5,13,7
