League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take_Ons,Succ_Take_Ons,Succ_percent_Take_Ons,Tkld_Take_Ons,Tkld_percent_Take_Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,0.5,Anaele Le Moguedec · 71&rsquor;,0,0,Dijon,4-3-3,0,0.7,NA,2,0,Stade de Reims,Home,NA,990,431,70,213,131,95,13,431,20,7,35,13,65,197,1092,360,7,5,2,19,4,180,25
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,0.5,Anaele Le Moguedec · 71&rsquor;,0,0,Dijon,4-3-3,0,0.7,NA,2,0,Dijon,Away,NA,990,532,45,182,203,152,17,532,14,5,35.7,9,64.3,265,1359,735,10,12,5,19,4,281,38
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Lille,4-3-3,2,1.5,Julie Machart (P) · 50&rsquor; Jessy Roux · 87&rsquor;,1,0,Fleury,4-2-3-1,1,0.2,Léa Le Garrec · 2&rsquor; Mariam Diakité · 86&rsquor;,6,1,Lille,Home,NA,990,469,50,160,213,102,10,468,13,7,53.8,6,46.2,222,1108,474,5,6,1,23,14,252,28
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Lille,4-3-3,2,1.5,Julie Machart (P) · 50&rsquor; Jessy Roux · 87&rsquor;,1,0,Fleury,4-2-3-1,1,0.2,Léa Le Garrec · 2&rsquor; Mariam Diakité · 86&rsquor;,6,1,Fleury,Away,NA,985,358,41,162,112,86,8,358,16,7,43.8,9,56.3,159,803,293,6,3,1,20,8,145,16
Championnat de France de Football Féminin,2023-10-08,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3,Melchie Dumornay · 24&rsquor; Kadidiatou Diani · 26&rsquor; Ada Hegerberg · 77&rsquor; Wendie Renard (P) · 85&rsquor;,1,0,Bordeaux,4-3-3,0,0.1,NA,0,0,Lyon,Home,NA,990,758,25,127,357,278,35,757,16,5,31.3,11,68.8,433,1693,802,15,11,3,17,4,522,89
Championnat de France de Football Féminin,2023-10-08,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3,Melchie Dumornay · 24&rsquor; Kadidiatou Diani · 26&rsquor; Ada Hegerberg · 77&rsquor; Wendie Renard (P) · 85&rsquor;,1,0,Bordeaux,4-3-3,0,0.1,NA,0,0,Bordeaux,Away,NA,990,396,90,252,119,28,2,396,9,3,33.3,6,66.7,140,630,328,4,0,0,16,8,158,10
Championnat de France de Football Féminin,2023-10-13,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,1.2,Andréa Lardez (P) · 52&rsquor;,3,0,Montpellier,4-2-3-1,1,1.2,Lea Khelifi · 60&rsquor;,1,0,Bordeaux,Home,NA,990,446,56,184,169,105,17,445,21,9,42.9,12,57.1,218,1351,702,19,9,8,21,5,179,27
Championnat de France de Football Féminin,2023-10-13,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,1.2,Andréa Lardez (P) · 52&rsquor;,3,0,Montpellier,4-2-3-1,1,1.2,Lea Khelifi · 60&rsquor;,1,0,Montpellier,Away,NA,990,572,44,182,265,130,20,572,13,9,69.2,4,30.8,306,1915,1019,14,12,4,21,7,327,42
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,2,2,Gaëtane Thiney (P) · 69&rsquor; Julie Dufour · 89&rsquor;,0,0,Guingamp,4-4-2,0,0.1,NA,2,0,Paris FC,Home,NA,990,606,33,177,269,167,24,605,16,7,43.8,9,56.3,312,1615,752,18,9,4,18,12,381,43
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,2,2,Gaëtane Thiney (P) · 69&rsquor; Julie Dufour · 89&rsquor;,0,0,Guingamp,4-4-2,0,0.1,NA,2,0,Guingamp,Away,NA,990,432,82,212,171,56,5,432,17,6,35.3,11,64.7,173,1004,373,0,2,1,20,19,203,13
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Le Havre,4-2-3-1,2,3.1,Chanelle Tchaptchet · 90+2&rsquor; Nesryne El Chad (OG) · 90+8&rsquor;,3,0,Lille,4-2-3-1,2,0.9,Lorena Azzaro · 7&rsquor; Nesryne El Chad · 24&rsquor; Naomie Bamenga · 45+2&rsquor;,3,1,Le Havre,Home,NA,990,634,33,172,255,211,40,634,14,5,35.7,9,64.3,367,1420,609,15,14,5,16,11,368,68
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Le Havre,4-2-3-1,2,3.1,Chanelle Tchaptchet · 90+2&rsquor; Nesryne El Chad (OG) · 90+8&rsquor;,3,0,Lille,4-2-3-1,2,0.9,Lorena Azzaro · 7&rsquor; Nesryne El Chad · 24&rsquor; Naomie Bamenga · 45+2&rsquor;,3,1,Lille,Away,NA,944,487,96,242,168,80,8,487,15,4,26.7,11,73.3,205,1032,454,6,6,1,23,10,221,18
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Fleury,Home,NA,990,590,73,221,240,136,12,590,16,7,43.8,9,56.3,281,1285,662,11,10,3,19,7,330,41
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Dijon,Away,NA,990,534,62,201,217,122,20,534,19,6,31.6,13,68.4,266,1411,677,15,13,7,24,8,279,41
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Lyon,Home,NA,990,729,21,122,364,246,41,729,18,4,22.2,14,77.8,424,2109,1104,24,19,8,20,8,518,69
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Saint-Étienne,Away,NA,989,374,86,236,116,25,3,374,10,1,10,9,90,152,751,410,6,3,3,17,8,162,11
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Montpellier,Home,NA,990,549,42,184,236,132,13,549,6,5,83.3,1,16.7,289,1174,477,10,12,2,24,13,295,27
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Fleury,Away,NA,990,569,69,272,208,96,8,568,13,6,46.2,7,53.8,274,1474,708,12,3,2,21,14,307,34
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Guingamp,Home,NA,975,504,70,234,180,96,10,504,12,8,66.7,4,33.3,234,1281,661,8,6,1,14,9,266,23
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Bordeaux,Away,NA,990,473,47,205,169,101,14,473,8,6,75,2,25,171,904,323,7,2,3,6,8,238,22
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Saint-Étienne,Home,NA,990,412,55,196,143,77,9,412,11,1,9.1,10,90.9,196,1212,465,11,2,0,14,6,213,23
