"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL","LeagueName","LeagueURL","StatType","Def.Pen_Touches.1","Def.3rd_Touches.1","Mid.3rd_Touches.1","Att.3rd_Touches.1","Att.Pen_Touches.1"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","MF,FW","18-298",1,40,0,0,13,27,5,40,3,1,33.3,2,66.7,16,76,54,2,1,1,3,0,27,2,"https://fbref.com/en/players/70c9b883/Alara-Sehitler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW,MF","27-313",1,30,0,1,10,20,6,30,3,0,0,3,100,11,25,13,0,0,0,2,2,20,9,"https://fbref.com/en/players/4528b262/Lea-Schuller","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","32-013",1,105,16,64,40,1,0,105,0,0,NA,0,NA,40,168,86,0,0,0,1,0,82,0,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Maria-Luisa Grohs","GER","GK","24-100",1,33,20,30,3,0,0,33,1,0,0,1,100,16,87,19,0,0,0,0,0,20,0,"https://fbref.com/en/players/3668e21b/Maria-Luisa-Grohs","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","30-086",1,93,5,31,52,10,3,93,0,0,NA,0,NA,28,226,112,0,0,0,0,0,70,0,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Arianna Caruso","ITA","FW","25-319",0.8,53,0,3,15,35,5,53,7,2,28.6,5,71.4,27,205,56,1,3,1,1,2,36,9,"https://fbref.com/en/players/d83b882b/Arianna-Caruso","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Linda Dallmann","GER","FW","31-019",0.7,24,0,0,14,10,1,24,1,0,0,1,100,15,76,40,1,1,0,1,1,23,5,"https://fbref.com/en/players/5a20e7f0/Linda-Dallmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Hoffenheim","Frauen-Bundesliga","Selina Cerci","GER","FW","25-113",2,79,1,8,27,47,18,79,5,1,20,4,80,46,253,67,1,1,1,6,2,54,14,"https://fbref.com/en/players/1fa80966/Selina-Cerci","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Hoffenheim","Frauen-Bundesliga","Laura Dick","GER","GK","22-100",2,79,65,79,0,0,0,79,0,0,NA,0,NA,34,172,55,0,0,0,0,0,37,0,"https://fbref.com/en/players/2d43333a/Laura-Dick","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
"2025-2026","Hoffenheim","Frauen-Bundesliga","Vanessa Diehm","GER","DF","21-183",2,143,18,69,70,4,0,143,0,0,NA,0,NA,55,278,133,0,1,0,0,0,88,0,"https://fbref.com/en/players/ff6f5249/Vanessa-Diehm","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","possession",NA,NA,NA,NA,NA
