League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels
Frauen-Bundesliga,2024-02-04,Frauen-Bundesliga (Matchweek 12),Bayer Leverkusen,4-1-4-1,1,0.5,Emilie Bragstad · 73&rsquor;,0,0,Wolfsburg,4-3-3,1,2.3,Alexandra Popp · 37&rsquor; Marina Hegering · 72&rsquor;,4,1,Wolfsburg,Away,NA,971,3,1,1,11,10,1,28,17,8,0,0,0,70,13,8,61.9
Frauen-Bundesliga,2024-02-04,Frauen-Bundesliga (Matchweek 12),Eintracht Frankfurt,4-3-3,1,1,Sara Doorsoun · 62&rsquor;,3,0,Essen,4-2-3-1,0,0.4,NA,1,0,Eintracht Frankfurt,Home,NA,990,3,0,0,12,9,2,16,15,15,0,0,0,72,7,3,70
Frauen-Bundesliga,2024-02-04,Frauen-Bundesliga (Matchweek 12),Eintracht Frankfurt,4-3-3,1,1,Sara Doorsoun · 62&rsquor;,3,0,Essen,4-2-3-1,0,0.4,NA,1,0,Essen,Away,NA,990,1,0,0,9,12,1,18,8,24,0,0,0,65,3,7,30
Frauen-Bundesliga,2024-02-05,Frauen-Bundesliga (Matchweek 12),Bayern Munich,4-2-3-1,4,1.6,Linda Sembrant · 6&rsquor; Lea Schüller · 19&rsquor; Linda Dallmann · 58&rsquor; Katharina Naschenweng · 60&rsquor;,0,0,Freiburg,4-2-3-1,0,0,NA,0,0,Bayern Munich,Home,NA,990,0,0,0,3,7,4,21,8,12,0,0,0,75,7,10,41.2
Frauen-Bundesliga,2024-02-05,Frauen-Bundesliga (Matchweek 12),Bayern Munich,4-2-3-1,4,1.6,Linda Sembrant · 6&rsquor; Lea Schüller · 19&rsquor; Linda Dallmann · 58&rsquor; Katharina Naschenweng · 60&rsquor;,0,0,Freiburg,4-2-3-1,0,0,NA,0,0,Freiburg,Away,NA,990,0,0,0,8,3,0,6,9,17,0,0,0,39,9,7,56.3
Frauen-Bundesliga,2024-02-09,Frauen-Bundesliga (Matchweek 13),Essen,4-2-3-1,4,3.9,Laureta Elmazi · 3&rsquor; Natasha Kowalski (P) · 25&rsquor; Natasha Kowalski · 51&rsquor; Annalena Rieke · 59&rsquor;,1,0,RB Leipzig,4-4-2,4,0.7,Mimmi Larsson · 14&rsquor; Vanessa Fudalla · 26&rsquor; Vanessa Fudalla · 28&rsquor; Frederike Kempe · 39&rsquor;,4,0,Essen,Home,NA,990,1,0,0,8,17,1,34,12,21,1,0,0,68,12,11,52.2
Frauen-Bundesliga,2024-02-09,Frauen-Bundesliga (Matchweek 13),Essen,4-2-3-1,4,3.9,Laureta Elmazi · 3&rsquor; Natasha Kowalski (P) · 25&rsquor; Natasha Kowalski · 51&rsquor; Annalena Rieke · 59&rsquor;,1,0,RB Leipzig,4-4-2,4,0.7,Mimmi Larsson · 14&rsquor; Vanessa Fudalla · 26&rsquor; Vanessa Fudalla · 28&rsquor; Frederike Kempe · 39&rsquor;,4,0,RB Leipzig,Away,NA,990,4,0,0,17,8,0,13,8,26,0,1,0,54,11,12,47.8
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Hoffenheim,4-2-3-1,1,1.5,Jill Janssens · 45+4&rsquor;,1,0,Werder Bremen,3-5-2,1,1.4,Rieke Dieckmann · 45&rsquor;,2,0,Hoffenheim,Home,NA,990,1,0,0,17,16,1,15,6,18,1,0,0,53,13,9,59.1
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Hoffenheim,4-2-3-1,1,1.5,Jill Janssens · 45+4&rsquor;,1,0,Werder Bremen,3-5-2,1,1.4,Rieke Dieckmann · 45&rsquor;,2,0,Werder Bremen,Away,NA,990,2,0,0,16,17,0,21,10,12,0,1,0,50,9,13,40.9
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Köln,4-2-3-1,0,0.3,NA,1,0,Bayern Munich,4-2-3-1,5,3,Linda Dallmann · 18&rsquor; Janina Hechler (OG) · 34&rsquor; Lea Schüller · 45+3&rsquor; Georgia Stanway · 52&rsquor; Jovana Damnjanović · 64&rsquor;,2,0,Köln,Home,NA,990,1,0,0,11,11,2,15,8,13,0,0,1,38,9,5,64.3
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Köln,4-2-3-1,0,0.3,NA,1,0,Bayern Munich,4-2-3-1,5,3,Linda Dallmann · 18&rsquor; Janina Hechler (OG) · 34&rsquor; Lea Schüller · 45+3&rsquor; Georgia Stanway · 52&rsquor; Jovana Damnjanović · 64&rsquor;,2,0,Bayern Munich,Away,NA,990,2,0,0,12,10,4,17,15,13,0,0,0,49,5,9,35.7
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Wolfsburg,4-3-3,3,1.4,Stina Johannes (OG) · 57&rsquor; Lena Lattwein · 85&rsquor; Vivien Endemann · 90+3&rsquor;,2,0,Eintracht Frankfurt,4-1-3-2,0,0.6,NA,1,0,Wolfsburg,Home,NA,990,2,0,0,11,9,0,16,11,11,0,0,0,53,6,4,60
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Wolfsburg,4-3-3,3,1.4,Stina Johannes (OG) · 57&rsquor; Lena Lattwein · 85&rsquor; Vivien Endemann · 90+3&rsquor;,2,0,Eintracht Frankfurt,4-1-3-2,0,0.6,NA,1,0,Eintracht Frankfurt,Away,NA,990,1,0,0,9,9,4,13,13,8,0,0,1,58,4,6,40
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Freiburg,4-3-3,1,2.5,Janina Minge · 90+4&rsquor;,1,0,MSV Duisburg,4-2-3-1,1,0.3,Taryn Ries · 65&rsquor; Natalie Muth · 90+6&rsquor;,5,1,Freiburg,Home,NA,990,1,0,0,11,16,2,33,8,11,0,0,0,63,19,16,54.3
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Freiburg,4-3-3,1,2.5,Janina Minge · 90+4&rsquor;,1,0,MSV Duisburg,4-2-3-1,1,0.3,Taryn Ries · 65&rsquor; Natalie Muth · 90+6&rsquor;,5,1,MSV Duisburg,Away,NA,989,4,1,1,16,11,1,6,17,11,0,0,0,55,16,19,45.7
Frauen-Bundesliga,2024-02-12,Frauen-Bundesliga (Matchweek 13),1. FC Nürnberg,3-4-1-2,1,0.5,Selma Sól Magnúsdóttir · 49&rsquor;,4,0,Bayer Leverkusen,4-1-4-1,2,0.8,Melissa Friedrich · 28&rsquor; Emilie Bragstad · 59&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,4,0,0,13,17,3,19,9,10,0,0,0,46,7,8,46.7
Frauen-Bundesliga,2024-02-12,Frauen-Bundesliga (Matchweek 13),1. FC Nürnberg,3-4-1-2,1,0.5,Selma Sól Magnúsdóttir · 49&rsquor;,4,0,Bayer Leverkusen,4-1-4-1,2,0.8,Melissa Friedrich · 28&rsquor; Emilie Bragstad · 59&rsquor;,2,0,Bayer Leverkusen,Away,NA,990,2,0,0,18,13,1,16,10,7,0,0,0,53,8,7,53.3
Frauen-Bundesliga,2024-02-16,Frauen-Bundesliga (Matchweek 14),RB Leipzig,4-4-2,2,0.5,Vanessa Fudalla · 11&rsquor; Vanessa Fudalla · 90+1&rsquor;,0,0,Eintracht Frankfurt,4-1-3-2,1,2.3,Remina Chiba · 90+2&rsquor;,1,0,RB Leipzig,Home,NA,990,0,0,0,11,11,2,11,11,13,0,0,0,56,12,9,57.1
Frauen-Bundesliga,2024-02-16,Frauen-Bundesliga (Matchweek 14),RB Leipzig,4-4-2,2,0.5,Vanessa Fudalla · 11&rsquor; Vanessa Fudalla · 90+1&rsquor;,0,0,Eintracht Frankfurt,4-1-3-2,1,2.3,Remina Chiba · 90+2&rsquor;,1,0,Eintracht Frankfurt,Away,NA,990,1,0,0,11,11,4,25,10,10,0,0,0,63,10,12,45.5
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),1. FC Nürnberg,5-3-2,1,0.7,Vanessa Haim · 12&rsquor;,4,0,Wolfsburg,4-3-3,9,5.3,Vivien Endemann · 7&rsquor; Alexandra Popp · 34&rsquor; Ewa Pajor · 36&rsquor; Alexandra Popp · 38&rsquor; Chantal Hagel · 52&rsquor; Ewa Pajor (P) · 71&rsquor; Ewa Pajor · 79&rsquor; Fenna Kalma · 81&rsquor; Ewa Pajor · 90+1&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,4,0,0,11,12,0,6,6,15,0,1,0,35,6,5,54.5
